nb_demandes,kWh_heure,heure,jour_semaine,is_weekend
2,,9,2,0
8,,10,2,0
5,,11,2,0
2,,14,2,0
1,,15,2,0
3,,16,2,0
2,,18,2,0
5,,19,2,0
1,,20,2,0
1,,8,3,0
1,,9,3,0
6,,10,3,0
3,,11,3,0
3,,12,3,0
3,,13,3,0
3,,14,3,0
4,,15,3,0
3,,16,3,0
1,,17,3,0
5,,18,3,0
4,,19,3,0
1,,7,4,0
2,,9,4,0
1,,10,4,0
1,,12,4,0
5,,13,4,0
1,,14,4,0
4,,15,4,0
3,,16,4,0
1,,17,4,0
1,,18,4,0
1,,19,4,0
1,85.125,5,5,1
1,85.125,6,5,1
2,85.125,7,5,1
3,85.125,8,5,1
2,85.125,9,5,1
9,85.125,11,5,1
4,85.125,12,5,1
2,85.125,13,5,1
5,85.125,14,5,1
7,85.125,16,5,1
3,85.125,17,5,1
4,85.125,18,5,1
3,85.125,19,5,1
4,,7,6,1
5,,8,6,1
2,,9,6,1
3,,10,6,1
3,,11,6,1
7,,12,6,1
3,,13,6,1
6,,16,6,1
4,,18,6,1
2,,7,0,0
4,,9,0,0
1,,10,0,0
4,,11,0,0
2,,12,0,0
1,,13,0,0
1,,14,0,0
1,,15,0,0
2,,18,0,0
2,,9,1,0
2,,10,1,0
1,,13,1,0
1,,14,1,0
8,,15,1,0
2,,16,1,0
1,,19,1,0
2,,20,1,0
5,,9,2,0
5,,10,2,0
3,,11,2,0
5,,12,2,0
1,,13,2,0
3,,14,2,0
4,,15,2,0
6,,16,2,0
8,,17,2,0
3,,8,3,0
7,,9,3,0
6,,10,3,0
5,,11,3,0
10,,12,3,0
13,,13,3,0
1,,14,3,0
1,,15,3,0
6,,16,3,0
2,,17,3,0
2,,18,3,0
4,,19,3,0
3,,8,4,0
1,,9,4,0
1,,10,4,0
1,,11,4,0
4,,12,4,0
3,,16,4,0
3,,6,5,1
4,,7,5,1
1,,8,5,1
5,,9,5,1
13,,11,5,1
3,,12,5,1
4,,13,5,1
9,,14,5,1
7,,15,5,1
7,,16,5,1
2,,18,5,1
4,,19,5,1
2,,22,5,1
1,,8,6,1
2,,9,6,1
7,,10,6,1
8,,11,6,1
1,,12,6,1
3,,13,6,1
4,,15,6,1
2,,16,6,1
3,,18,6,1
1,,19,6,1
1,,9,0,0
7,,10,0,0
1,,12,0,0
5,,13,0,0
4,,14,0,0
4,,15,0,0
6,,16,0,0
1,,7,1,0
2,,8,1,0
1,,9,1,0
7,,10,1,0
6,,11,1,0
6,,12,1,0
21,,13,1,0
4,,14,1,0
7,,15,1,0
3,,16,1,0
3,,18,1,0
2,,9,2,0
8,,10,2,0
4,,11,2,0
3,,12,2,0
5,,13,2,0
3,,14,2,0
2,,15,2,0
5,,17,2,0
2,,18,2,0
2,,20,2,0
8,,8,3,0
6,,9,3,0
2,,10,3,0
3,,11,3,0
4,,14,3,0
6,,15,3,0
2,,16,3,0
4,,17,3,0
5,,18,3,0
3,,19,3,0
5,,20,3,0
1,,6,4,0
2,,10,4,0
2,,11,4,0
2,,12,4,0
4,,13,4,0
5,,14,4,0
5,,15,4,0
3,,16,4,0
2,,17,4,0
2,,18,4,0
1,,6,5,1
2,,7,5,1
3,,8,5,1
1,,10,5,1
2,,11,5,1
3,,12,5,1
7,,13,5,1
1,,14,5,1
12,,15,5,1
1,,16,5,1
2,,17,5,1
8,,18,5,1
12,,19,5,1
2,,9,6,1
5,,10,6,1
7,,11,6,1
6,,12,6,1
5,,13,6,1
5,,14,6,1
3,,15,6,1
9,,16,6,1
4,,17,6,1
7,,18,6,1
2,,19,6,1
7,,20,6,1
2,,21,6,1
1,,7,0,0
2,,8,0,0
2,,9,0,0
7,,10,0,0
1,,11,0,0
3,,13,0,0
4,,14,0,0
8,,15,0,0
2,,17,0,0
4,,8,1,0
4,,9,1,0
2,,10,1,0
5,,11,1,0
5,,12,1,0
1,,14,1,0
1,,15,1,0
3,,16,1,0
1,,17,1,0
1,,18,1,0
1,,9,2,0
2,,10,2,0
1,,12,2,0
2,,14,2,0
8,,16,2,0
1,,17,2,0
2,,6,3,0
1,,7,3,0
2,,9,3,0
4,,10,3,0
13,,11,3,0
1,,12,3,0
2,,14,3,0
1,,16,3,0
2,,17,3,0
1,,9,4,0
3,,10,4,0
1,,11,4,0
3,,12,4,0
4,,14,4,0
10,,17,4,0
4,,18,4,0
3,,19,4,0
1,,6,5,1
2,,8,5,1
1,,9,5,1
1,,10,5,1
3,,11,5,1
3,,12,5,1
4,,14,5,1
2,,15,5,1
1,,16,5,1
1,,8,6,1
5,,10,6,1
6,,11,6,1
2,,13,6,1
4,,14,6,1
4,,15,6,1
3,,16,6,1
8,,17,6,1
2,,18,6,1
3,,8,0,0
3,,9,0,0
5,,10,0,0
7,,11,0,0
2,,12,0,0
4,,13,0,0
4,,14,0,0
2,,15,0,0
1,,17,0,0
1,,18,0,0
2,,6,1,0
2,,7,1,0
2,,8,1,0
2,,9,1,0
5,,10,1,0
1,,11,1,0
4,,12,1,0
7,,13,1,0
2,,14,1,0
3,,15,1,0
8,,18,1,0
3,,20,1,0
2,,6,2,0
2,,7,2,0
3,,8,2,0
10,,9,2,0
5,,10,2,0
5,,11,2,0
8,,13,2,0
9,,14,2,0
1,,15,2,0
3,,16,2,0
1,,17,2,0
3,,20,2,0
3,,9,3,0
1,,10,3,0
6,,11,3,0
4,,12,3,0
2,,13,3,0
3,,14,3,0
2,,15,3,0
2,,17,3,0
5,,18,3,0
3,,7,4,0
4,,8,4,0
4,,9,4,0
7,,10,4,0
1,,11,4,0
7,,12,4,0
6,,13,4,0
4,,14,4,0
1,,15,4,0
1,,16,4,0
2,,18,4,0
1,,6,5,1
1,,7,5,1
5,,8,5,1
5,,10,5,1
4,,11,5,1
8,,13,5,1
17,,14,5,1
1,,16,5,1
1,,20,5,1
4,,7,6,1
1,,8,6,1
1,,9,6,1
6,,10,6,1
4,,11,6,1
4,,12,6,1
2,,13,6,1
1,,14,6,1
1,,16,6,1
5,,17,6,1
2,,18,6,1
1,84.75,8,0,0
8,84.75,10,0,0
4,84.75,11,0,0
1,84.75,12,0,0
5,84.75,14,0,0
2,84.75,15,0,0
1,84.75,19,0,0
2,,8,1,0
3,,9,1,0
4,,10,1,0
6,,11,1,0
1,,12,1,0
4,,13,1,0
8,,14,1,0
10,,15,1,0
1,,16,1,0
2,,17,1,0
2,,18,1,0
1,,9,2,0
2,,11,2,0
2,,13,2,0
5,,15,2,0
3,,17,2,0
2,,19,2,0
3,,8,3,0
7,,9,3,0
4,,10,3,0
6,,11,3,0
5,,12,3,0
3,,15,3,0
2,,16,3,0
2,,17,3,0
1,,19,3,0
4,,8,4,0
7,,9,4,0
6,,10,4,0
4,,11,4,0
8,,12,4,0
5,,13,4,0
1,,14,4,0
3,,15,4,0
2,,18,4,0
2,,19,4,0
2,,21,4,0
1,,6,5,1
3,,11,5,1
3,,13,5,1
5,,14,5,1
6,,15,5,1
2,,16,5,1
3,,17,5,1
1,,18,5,1
1,,19,5,1
2,,9,6,1
13,,10,6,1
2,,11,6,1
3,,12,6,1
4,,13,6,1
2,,14,6,1
2,,15,6,1
5,,16,6,1
2,,17,6,1
10,,18,6,1
1,,7,0,0
8,,10,0,0
11,,11,0,0
2,,12,0,0
1,,13,0,0
3,,14,0,0
5,,15,0,0
4,,17,0,0
2,,18,0,0
2,,19,0,0
2,,8,1,0
7,,9,1,0
7,,10,1,0
5,,11,1,0
2,,12,1,0
1,,13,1,0
4,,14,1,0
2,,15,1,0
4,,16,1,0
3,,19,1,0
1,,20,1,0
1,,8,2,0
6,,9,2,0
9,,10,2,0
4,,11,2,0
4,,13,2,0
8,,14,2,0
6,,15,2,0
4,,16,2,0
8,,17,2,0
4,,18,2,0
1,,19,2,0
2,,7,3,0
6,,8,3,0
13,,9,3,0
8,,10,3,0
3,,11,3,0
1,,12,3,0
3,,13,3,0
6,,15,3,0
4,,16,3,0
3,,17,3,0
5,,18,3,0
6,,11,4,0
1,,12,4,0
3,,13,4,0
2,,14,4,0
3,,15,4,0
6,,16,4,0
11,,17,4,0
1,,18,4,0
1,,6,5,1
1,,7,5,1
5,,8,5,1
9,,9,5,1
4,,10,5,1
6,,11,5,1
9,,12,5,1
2,,13,5,1
5,,14,5,1
3,,15,5,1
2,,16,5,1
3,,18,5,1
4,,19,5,1
1,,20,5,1
1,,8,6,1
1,,9,6,1
5,,10,6,1
2,,11,6,1
3,,12,6,1
3,,13,6,1
3,,14,6,1
5,,15,6,1
1,,16,6,1
1,,18,6,1
2,,19,6,1
2,,9,0,0
3,,10,0,0
3,,14,0,0
4,,15,0,0
8,,16,0,0
6,,17,0,0
1,,18,0,0
2,,8,1,0
2,,10,1,0
4,,11,1,0
4,,12,1,0
5,,13,1,0
1,,14,1,0
4,,15,1,0
1,,16,1,0
1,,17,1,0
1,,18,1,0
4,,20,1,0
6,,21,1,0
2,,22,1,0
1,,7,2,0
2,,8,2,0
9,,9,2,0
4,,10,2,0
8,,11,2,0
5,,12,2,0
1,,13,2,0
5,,14,2,0
2,,15,2,0
10,,16,2,0
10,,17,2,0
3,,18,2,0
3,,8,3,0
3,,9,3,0
4,,10,3,0
2,,11,3,0
2,,12,3,0
1,,14,3,0
4,,15,3,0
2,,16,3,0
1,,17,3,0
1,,8,4,0
4,,9,4,0
1,,10,4,0
3,,11,4,0
11,,12,4,0
4,,13,4,0
5,,14,4,0
5,,15,4,0
6,,16,4,0
6,,17,4,0
5,,6,5,1
2,,7,5,1
9,,8,5,1
5,,9,5,1
6,,10,5,1
5,,11,5,1
7,,12,5,1
1,,13,5,1
2,,14,5,1
6,,17,5,1
7,,18,5,1
1,,6,6,1
2,,7,6,1
2,,9,6,1
9,,10,6,1
7,,11,6,1
1,,13,6,1
3,,15,6,1
1,,16,6,1
7,,17,6,1
1,,6,0,0
4,,9,0,0
6,,10,0,0
2,,11,0,0
3,,12,0,0
1,,15,0,0
5,,16,0,0
3,,17,0,0
2,,8,1,0
2,,9,1,0
3,,10,1,0
1,,11,1,0
1,,13,1,0
2,,15,1,0
1,,16,1,0
1,,17,1,0
1,,18,1,0
1,,19,1,0
1,,6,2,0
1,,7,2,0
7,,10,2,0
5,,11,2,0
2,,12,2,0
1,,13,2,0
9,,14,2,0
9,,15,2,0
3,,16,2,0
1,,17,2,0
2,,19,2,0
2,,8,3,0
7,,9,3,0
4,,10,3,0
3,,11,3,0
11,,12,3,0
7,,13,3,0
4,,14,3,0
2,,15,3,0
2,,16,3,0
4,,17,3,0
10,,18,3,0
3,,19,3,0
1,,7,4,0
1,,8,4,0
2,,9,4,0
5,,10,4,0
3,,11,4,0
6,,14,4,0
1,,15,4,0
3,,16,4,0
1,,17,4,0
1,,18,4,0
1,,7,5,1
1,,8,5,1
6,,9,5,1
7,,10,5,1
5,,11,5,1
3,,12,5,1
4,,13,5,1
2,,14,5,1
5,,16,5,1
3,,17,5,1
6,,18,5,1
1,,19,5,1
1,,7,6,1
1,,8,6,1
4,,9,6,1
2,,10,6,1
7,,11,6,1
1,,12,6,1
1,,16,6,1
2,,18,6,1
2,,20,6,1
1,,21,6,1
1,,6,0,0
2,,7,0,0
3,,8,0,0
4,,9,0,0
8,,10,0,0
4,,11,0,0
9,,12,0,0
4,,13,0,0
6,,14,0,0
8,,15,0,0
5,,16,0,0
2,,18,0,0
2,,6,1,0
2,,7,1,0
8,,8,1,0
8,,9,1,0
8,,10,1,0
6,,12,1,0
2,,13,1,0
7,,14,1,0
5,,15,1,0
2,,7,2,0
6,,8,2,0
5,,9,2,0
12,,10,2,0
6,,11,2,0
4,,12,2,0
2,,13,2,0
5,,15,2,0
4,,16,2,0
2,,17,2,0
3,,18,2,0
2,77.875,7,3,0
1,77.875,8,3,0
4,77.875,9,3,0
2,77.875,10,3,0
1,77.875,11,3,0
2,77.875,12,3,0
3,77.875,13,3,0
2,77.875,14,3,0
6,77.875,15,3,0
3,77.875,16,3,0
3,77.875,17,3,0
3,77.875,18,3,0
1,,6,4,0
4,,7,4,0
1,,8,4,0
2,,9,4,0
3,,10,4,0
6,,11,4,0
6,,12,4,0
4,,13,4,0
2,,14,4,0
3,,15,4,0
2,,16,4,0
2,,17,4,0
3,,18,4,0
1,,8,5,1
4,,9,5,1
5,,10,5,1
3,,11,5,1
5,,12,5,1
2,,13,5,1
8,,14,5,1
1,,15,5,1
3,,16,5,1
2,,17,5,1
1,,19,5,1
3,,20,5,1
1,,9,6,1
1,,10,6,1
5,,11,6,1
3,,12,6,1
2,,13,6,1
1,,14,6,1
10,,15,6,1
6,,16,6,1
1,,18,6,1
4,,7,0,0
6,,8,0,0
2,,9,0,0
4,,10,0,0
2,,11,0,0
1,,12,0,0
13,,13,0,0
2,,14,0,0
5,,15,0,0
1,,16,0,0
3,,17,0,0
2,,18,0,0
2,,19,0,0
1,,20,0,0
3,,7,1,0
2,,8,1,0
4,,9,1,0
17,,10,1,0
12,,11,1,0
7,,12,1,0
7,,13,1,0
5,,14,1,0
3,,15,1,0
2,,16,1,0
3,,17,1,0
6,,18,1,0
6,,7,2,0
7,,8,2,0
4,,9,2,0
6,,10,2,0
5,,11,2,0
2,,13,2,0
3,,14,2,0
1,,15,2,0
3,,19,2,0
1,,7,3,0
5,,8,3,0
4,,9,3,0
2,,10,3,0
3,,11,3,0
1,,13,3,0
6,,14,3,0
1,,15,3,0
2,,16,3,0
1,,17,3,0
4,,18,3,0
4,,20,3,0
3,,21,3,0
3,,5,4,0
1,,6,4,0
8,,9,4,0
3,,10,4,0
3,,11,4,0
1,,12,4,0
1,,13,4,0
3,,14,4,0
2,,15,4,0
1,,16,4,0
7,,17,4,0
4,,18,4,0
3,,19,4,0
2,,7,5,1
6,,8,5,1
5,,9,5,1
4,,10,5,1
4,,11,5,1
5,,12,5,1
7,,13,5,1
6,,14,5,1
6,,15,5,1
4,,16,5,1
2,,17,5,1
1,,18,5,1
1,,6,6,1
6,,7,6,1
6,,8,6,1
2,,9,6,1
2,,10,6,1
2,,11,6,1
2,,12,6,1
2,,14,6,1
3,,15,6,1
2,,16,6,1
1,,17,6,1
5,,18,6,1
6,,19,6,1
2,,20,6,1
2,,7,0,0
1,,8,0,0
8,,9,0,0
2,,10,0,0
10,,11,0,0
6,,12,0,0
3,,13,0,0
4,,14,0,0
3,,15,0,0
2,,18,0,0
1,,19,0,0
1,,0,1,0
1,,9,1,0
2,,10,1,0
4,,11,1,0
7,,12,1,0
8,,13,1,0
13,,14,1,0
10,,15,1,0
8,,16,1,0
7,,17,1,0
3,,18,1,0
2,,7,2,0
4,,8,2,0
3,,9,2,0
6,,10,2,0
4,,11,2,0
1,,12,2,0
3,,13,2,0
4,,14,2,0
3,,15,2,0
3,,16,2,0
1,,17,2,0
6,,18,2,0
3,,19,2,0
3,,20,2,0
3,,6,3,0
3,,7,3,0
1,,8,3,0
2,,9,3,0
1,,10,3,0
3,,11,3,0
1,,13,3,0
2,,14,3,0
2,,16,3,0
2,,17,3,0
1,,18,3,0
3,,19,3,0
1,,8,4,0
4,,9,4,0
8,,10,4,0
2,,11,4,0
5,,12,4,0
2,,13,4,0
2,,14,4,0
5,,16,4,0
1,,17,4,0
8,,18,4,0
8,,19,4,0
7,,8,5,1
7,,9,5,1
4,,10,5,1
6,,11,5,1
2,,12,5,1
4,,13,5,1
3,,14,5,1
2,,15,5,1
10,,16,5,1
2,,17,5,1
2,,18,5,1
1,,9,6,1
9,,10,6,1
10,,11,6,1
7,,12,6,1
8,,13,6,1
2,,14,6,1
2,,15,6,1
1,,16,6,1
7,,17,6,1
1,,18,6,1
2,,19,6,1
6,,7,0,0
4,,8,0,0
18,,10,0,0
5,,11,0,0
6,,12,0,0
6,,13,0,0
8,,14,0,0
8,,15,0,0
4,,16,0,0
3,,17,0,0
1,,7,1,0
4,,9,1,0
3,,10,1,0
2,,11,1,0
2,,12,1,0
4,,14,1,0
3,,15,1,0
7,,16,1,0
3,,17,1,0
2,,18,1,0
2,,19,1,0
2,,8,2,0
8,,9,2,0
7,,10,2,0
5,,11,2,0
1,,12,2,0
4,,13,2,0
3,,14,2,0
8,,15,2,0
2,,16,2,0
5,,17,2,0
1,,18,2,0
4,,19,2,0
6,,20,2,0
2,,21,2,0
2,,22,2,0
1,,7,3,0
4,,9,3,0
6,,10,3,0
10,,11,3,0
8,,12,3,0
3,,13,3,0
1,,14,3,0
3,,15,3,0
4,,16,3,0
2,,17,3,0
8,,19,3,0
1,,5,4,0
1,,6,4,0
1,,8,4,0
7,,9,4,0
9,,10,4,0
7,,11,4,0
4,,13,4,0
2,,14,4,0
2,,15,4,0
5,,16,4,0
5,,18,4,0
4,,10,5,1
11,,11,5,1
1,,12,5,1
6,,13,5,1
5,,14,5,1
4,,15,5,1
6,,16,5,1
4,,17,5,1
1,,6,6,1
2,,7,6,1
2,,8,6,1
4,,10,6,1
6,,11,6,1
5,,12,6,1
4,,13,6,1
4,,14,6,1
6,,15,6,1
10,,16,6,1
1,,17,6,1
4,,18,6,1
1,,19,6,1
3,,8,0,0
11,,9,0,0
5,,10,0,0
4,,11,0,0
5,,12,0,0
3,,13,0,0
1,,14,0,0
1,,15,0,0
1,,16,0,0
1,,17,0,0
7,,18,0,0
6,,19,0,0
1,,20,0,0
2,,8,1,0
5,,9,1,0
3,,10,1,0
2,,11,1,0
1,,12,1,0
1,,13,1,0
2,,14,1,0
2,,15,1,0
5,,16,1,0
8,,17,1,0
9,,18,1,0
7,,19,1,0
1,,21,1,0
2,,22,1,0
1,,7,2,0
17,,8,2,0
5,,9,2,0
3,,10,2,0
3,,12,2,0
7,,13,2,0
3,,14,2,0
6,,15,2,0
3,,16,2,0
3,,17,2,0
1,,18,2,0
2,,19,2,0
4,,7,3,0
3,,8,3,0
10,,9,3,0
3,,10,3,0
7,,11,3,0
1,,12,3,0
1,,13,3,0
2,,14,3,0
2,,15,3,0
2,,16,3,0
3,,18,3,0
1,,19,3,0
6,,10,4,0
1,,11,4,0
3,,12,4,0
7,,13,4,0
4,,14,4,0
5,,16,4,0
1,,17,4,0
1,,18,4,0
4,,21,4,0
1,,6,5,1
1,,8,5,1
4,,10,5,1
5,,11,5,1
5,,12,5,1
3,,15,5,1
1,,16,5,1
5,,18,5,1
1,97.91666666666669,7,6,1
3,97.91666666666669,8,6,1
4,97.91666666666669,9,6,1
4,97.91666666666669,10,6,1
3,97.91666666666669,11,6,1
1,97.91666666666669,12,6,1
7,97.91666666666669,13,6,1
6,97.91666666666669,14,6,1
6,97.91666666666669,15,6,1
1,97.91666666666669,18,6,1
1,97.91666666666669,21,6,1
1,97.91666666666669,22,6,1
1,,8,0,0
4,,9,0,0
3,,10,0,0
3,,11,0,0
2,,12,0,0
2,,13,0,0
3,,15,0,0
2,,16,0,0
4,,17,0,0
5,,8,1,0
7,,10,1,0
1,,11,1,0
1,,12,1,0
2,,13,1,0
11,,14,1,0
5,,15,1,0
2,,18,1,0
2,,19,1,0
1,,20,1,0
1,,6,2,0
3,,7,2,0
11,,8,2,0
5,,9,2,0
2,,10,2,0
3,,11,2,0
2,,12,2,0
3,,13,2,0
2,,14,2,0
10,,15,2,0
4,,16,2,0
1,,19,2,0
2,,8,3,0
7,,9,3,0
8,,10,3,0
2,,11,3,0
1,,15,3,0
7,,16,3,0
5,,18,3,0
5,,19,3,0
1,,22,3,0
1,,7,4,0
5,,8,4,0
6,,9,4,0
9,,10,4,0
7,,11,4,0
5,,12,4,0
1,,13,4,0
3,,14,4,0
6,,15,4,0
10,,16,4,0
13,,17,4,0
1,,18,4,0
6,,19,4,0
3,,8,5,1
2,,9,5,1
8,,10,5,1
7,,11,5,1
1,,12,5,1
8,,13,5,1
17,,14,5,1
9,,15,5,1
3,,16,5,1
3,,17,5,1
2,,18,5,1
1,,19,5,1
4,,8,6,1
7,,9,6,1
2,,10,6,1
1,,11,6,1
6,,13,6,1
7,,14,6,1
13,,15,6,1
8,,16,6,1
5,,17,6,1
6,,18,6,1
2,,19,6,1
8,,9,0,0
11,,10,0,0
2,,11,0,0
4,,12,0,0
7,,13,0,0
4,,14,0,0
3,,15,0,0
1,,16,0,0
4,,17,0,0
1,,19,0,0
1,,20,0,0
4,,8,1,0
5,,9,1,0
6,,10,1,0
4,,11,1,0
3,,12,1,0
14,,13,1,0
11,,14,1,0
9,,15,1,0
2,,16,1,0
6,,17,1,0
5,,18,1,0
7,,19,1,0
3,,5,2,0
2,,6,2,0
1,,8,2,0
8,,9,2,0
6,,10,2,0
1,,11,2,0
4,,14,2,0
10,,15,2,0
4,,16,2,0
2,,17,2,0
3,,18,2,0
2,,20,2,0
2,,21,2,0
2,,22,2,0
2,,7,3,0
3,,8,3,0
2,,9,3,0
8,,10,3,0
4,,11,3,0
2,,12,3,0
2,,13,3,0
5,,14,3,0
4,,15,3,0
1,,17,3,0
5,,18,3,0
8,,19,3,0
2,,20,3,0
2,,7,4,0
2,,9,4,0
3,,10,4,0
4,,11,4,0
1,,12,4,0
2,,13,4,0
6,,14,4,0
4,,15,4,0
4,,16,4,0
3,,17,4,0
4,,18,4,0
4,,19,4,0
4,,20,4,0
2,,7,5,1
6,,8,5,1
8,,9,5,1
10,,10,5,1
9,,11,5,1
1,,12,5,1
4,,13,5,1
2,,14,5,1
6,,15,5,1
3,,16,5,1
1,,18,5,1
1,,19,5,1
2,,7,6,1
4,,8,6,1
6,,10,6,1
5,,11,6,1
2,,12,6,1
2,,13,6,1
4,,15,6,1
7,,16,6,1
7,,17,6,1
3,,18,6,1
1,,19,6,1
2,,21,6,1
1,,7,0,0
1,,8,0,0
1,,9,0,0
3,,10,0,0
13,,11,0,0
11,,12,0,0
13,,13,0,0
11,,14,0,0
4,,15,0,0
1,,16,0,0
1,,21,0,0
1,,7,1,0
3,,8,1,0
6,,9,1,0
9,,10,1,0
9,,11,1,0
5,,12,1,0
2,,13,1,0
2,,14,1,0
2,,15,1,0
1,,17,1,0
8,,18,1,0
1,,19,1,0
2,,21,1,0
4,,22,1,0
3,,9,2,0
2,,10,2,0
3,,11,2,0
7,,12,2,0
1,,13,2,0
1,,16,2,0
5,,17,2,0
7,,18,2,0
2,,6,3,0
3,,8,3,0
3,,9,3,0
3,,10,3,0
4,,12,3,0
1,,13,3,0
2,,14,3,0
1,,16,3,0
3,,17,3,0
3,,18,3,0
2,,19,3,0
2,,6,4,0
7,,8,4,0
6,,9,4,0
3,,10,4,0
7,,11,4,0
2,,13,4,0
2,,14,4,0
4,,15,4,0
2,,16,4,0
3,,17,4,0
3,,18,4,0
1,,6,5,1
2,,7,5,1
4,,8,5,1
1,,9,5,1
2,,10,5,1
1,,11,5,1
2,,12,5,1
2,,13,5,1
1,,14,5,1
4,,17,5,1
1,,18,5,1
2,,19,5,1
2,,20,5,1
2,,9,6,1
7,,10,6,1
3,,11,6,1
2,,12,6,1
1,,13,6,1
1,,15,6,1
5,,16,6,1
6,,17,6,1
3,,18,6,1
3,,19,6,1
1,,20,6,1
3,,10,0,0
4,,11,0,0
2,,12,0,0
3,,13,0,0
3,,14,0,0
4,,15,0,0
5,,16,0,0
2,,17,0,0
6,,18,0,0
2,,19,0,0
1,,12,1,0
1,,14,1,0
3,,15,1,0
4,,16,1,0
4,,19,1,0
2,,20,1,0
3,,21,1,0
6,,9,2,0
9,,10,2,0
5,,11,2,0
1,,12,2,0
1,,13,2,0
2,,14,2,0
4,,15,2,0
1,,16,2,0
6,,17,2,0
3,,18,2,0
2,,19,2,0
2,,7,3,0
2,,8,3,0
4,,9,3,0
7,,10,3,0
4,,13,3,0
6,,15,3,0
1,,16,3,0
7,,17,3,0
7,,18,3,0
3,,19,3,0
3,,21,3,0
3,,9,4,0
9,,10,4,0
2,,11,4,0
8,,13,4,0
4,,14,4,0
1,,16,4,0
4,,17,4,0
1,,18,4,0
5,,19,4,0
1,,6,5,1
2,,7,5,1
1,,8,5,1
6,,9,5,1
1,,11,5,1
2,,12,5,1
6,,13,5,1
7,,14,5,1
13,,15,5,1
9,,16,5,1
3,,17,5,1
2,,18,5,1
2,,19,5,1
1,,7,6,1
1,,8,6,1
7,,9,6,1
9,,10,6,1
13,,11,6,1
6,,12,6,1
2,,14,6,1
2,,16,6,1
3,,17,6,1
7,,18,6,1
2,,19,6,1
1,,20,6,1
3,,9,0,0
1,,10,0,0
4,,11,0,0
5,,13,0,0
1,,14,0,0
5,,15,0,0
4,,16,0,0
3,,17,0,0
3,,18,0,0
3,,19,0,0
1,105.04166666666669,7,1,0
2,105.04166666666669,9,1,0
4,105.04166666666669,10,1,0
4,105.04166666666669,11,1,0
10,105.04166666666669,12,1,0
5,105.04166666666669,13,1,0
7,105.04166666666669,14,1,0
8,105.04166666666669,15,1,0
9,105.04166666666669,16,1,0
3,105.04166666666669,17,1,0
4,105.04166666666669,18,1,0
2,105.04166666666669,19,1,0
3,,8,2,0
3,,9,2,0
9,,10,2,0
1,,12,2,0
1,,13,2,0
6,,14,2,0
8,,15,2,0
7,,16,2,0
7,,17,2,0
4,,18,2,0
10,,19,2,0
1,,1,3,0
2,,6,3,0
2,,8,3,0
5,,9,3,0
5,,10,3,0
5,,11,3,0
4,,12,3,0
2,,13,3,0
3,,14,3,0
5,,15,3,0
3,,16,3,0
4,,17,3,0
1,,18,3,0
6,,20,3,0
2,,9,4,0
1,,10,4,0
1,,11,4,0
3,,12,4,0
3,,13,4,0
1,,15,4,0
3,,17,4,0
2,,19,4,0
2,,20,4,0
1,,6,5,1
2,,7,5,1
6,,8,5,1
1,,10,5,1
6,,11,5,1
10,,12,5,1
2,,13,5,1
3,,14,5,1
10,,15,5,1
10,,16,5,1
6,,17,5,1
5,,18,5,1
2,,22,5,1
4,,9,6,1
5,,10,6,1
4,,11,6,1
1,,12,6,1
2,,13,6,1
3,,14,6,1
11,,15,6,1
3,,16,6,1
2,,17,6,1
6,,18,6,1
5,,19,6,1
2,,21,6,1
1,,8,0,0
2,,9,0,0
3,,10,0,0
4,,11,0,0
8,,12,0,0
3,,13,0,0
1,,15,0,0
12,,16,0,0
4,,17,0,0
3,,18,0,0
5,,19,0,0
6,,8,1,0
12,,9,1,0
2,,10,1,0
2,,12,1,0
2,,13,1,0
11,,14,1,0
1,,15,1,0
4,,17,1,0
5,,18,1,0
3,,19,1,0
4,,9,2,0
7,,10,2,0
4,,11,2,0
2,,12,2,0
1,,15,2,0
3,,16,2,0
5,,17,2,0
1,,18,2,0
2,,21,2,0
2,,22,2,0
2,,23,2,0
4,,10,3,0
6,,11,3,0
1,,12,3,0
2,,14,3,0
8,,15,3,0
4,,16,3,0
2,,17,3,0
8,,18,3,0
4,,19,3,0
1,,8,4,0
2,,9,4,0
1,,10,4,0
3,,11,4,0
2,,12,4,0
14,,13,4,0
10,,14,4,0
9,,15,4,0
2,,16,4,0
5,,17,4,0
4,,18,4,0
4,,19,4,0
1,,22,4,0
2,,8,5,1
3,,9,5,1
6,,10,5,1
15,,11,5,1
4,,12,5,1
6,,13,5,1
2,,14,5,1
7,,15,5,1
8,,17,5,1
2,,18,5,1
1,,19,5,1
1,,9,6,1
3,,10,6,1
10,,11,6,1
8,,12,6,1
8,,13,6,1
4,,14,6,1
10,,15,6,1
1,,16,6,1
7,,17,6,1
10,,18,6,1
4,,7,0,0
9,,8,0,0
6,,9,0,0
5,,10,0,0
7,,11,0,0
5,,12,0,0
6,,13,0,0
3,,14,0,0
4,,15,0,0
7,,16,0,0
4,,17,0,0
4,,18,0,0
4,,10,1,0
6,,11,1,0
6,,12,1,0
3,,14,1,0
5,,15,1,0
6,,16,1,0
8,,17,1,0
4,,8,2,0
2,,9,2,0
7,,10,2,0
3,,11,2,0
9,,12,2,0
1,,13,2,0
1,,16,2,0
4,,17,2,0
1,,18,2,0
1,,19,2,0
1,,6,3,0
5,,7,3,0
5,,8,3,0
7,,9,3,0
