date,ca_esp,ca_cb,jeton,fidelite,remb,ca_tot
2025-03-20,-8.0,35.0,0.0,0.0,-10.0,27.0
2025-03-21,10.0,26.0,0.0,0.0,0.0,36.0
2025-03-22,38.0,37.0,0.0,0.0,-10.0,75.0
2025-03-23,83.0,181.0,0.0,0.0,0.0,264.0
2025-03-24,18.0,70.0,0.0,0.0,-10.0,88.0
2025-03-25,12.0,17.0,0.0,0.0,0.0,29.0
2025-03-26,30.0,62.0,0.0,0.0,0.0,92.0
2025-03-27,48.0,25.0,0.0,0.0,-10.0,73.0
2025-03-28,28.0,14.0,0.0,0.0,0.0,42.0
2025-03-29,19.0,68.0,0.0,0.0,-10.0,87.0
2025-03-30,37.0,130.0,0.0,0.0,0.0,167.0
2025-03-31,-6.0,23.0,0.0,0.0,-10.0,17.0
2025-04-01,26.0,42.0,0.0,0.0,0.0,68.0
2025-04-02,45.0,29.0,0.0,0.0,0.0,74.0
2025-04-03,34.0,63.0,0.0,0.0,-10.0,97.0
2025-04-04,34.0,34.0,0.0,0.0,0.0,68.0
2025-04-05,23.0,77.0,0.0,0.0,-10.0,100.0
2025-04-06,61.0,173.0,0.0,0.0,0.0,234.0
2025-04-07,40.0,26.0,0.0,0.0,-10.0,66.0
2025-04-08,21.0,39.0,0.0,0.0,0.0,60.0
2025-04-09,15.0,23.0,0.0,0.0,0.0,38.0
2025-04-10,-7.0,26.0,0.0,0.0,-20.0,19.0
2025-04-11,39.0,70.0,0.0,0.0,0.0,109.0
2025-04-12,88.0,101.0,0.0,0.0,0.0,189.0
2025-04-13,50.0,111.0,0.0,0.0,0.0,161.0
2025-04-14,15.0,119.0,0.0,0.0,-20.0,134.0
2025-04-15,36.0,31.0,0.0,0.0,0.0,67.0
2025-04-16,46.0,26.0,0.0,0.0,0.0,72.0
2025-04-17,28.0,104.0,0.0,0.0,-10.0,132.0
2025-04-18,21.0,19.0,0.0,0.0,0.0,40.0
2025-04-19,23.0,55.0,0.0,0.0,-10.0,78.0
2025-04-20,19.0,80.0,0.0,0.0,0.0,99.0
2025-04-21,19.0,134.0,0.0,0.0,0.0,153.0
2025-04-22,18.0,50.0,0.0,0.0,-10.0,68.0
2025-04-23,21.0,15.0,0.0,0.0,0.0,36.0
2025-04-24,24.0,74.0,0.0,0.0,-10.0,98.0
2025-04-25,61.0,19.0,0.0,0.0,0.0,80.0
2025-04-26,29.0,70.0,0.0,0.0,-10.0,99.0
2025-04-27,33.0,98.0,0.0,0.0,0.0,131.0
2025-04-28,32.0,78.0,0.0,0.0,-10.0,110.0
2025-04-29,24.0,9.0,0.0,0.0,0.0,33.0
2025-04-30,15.0,81.0,0.0,0.0,0.0,96.0
2025-05-01,16.0,39.0,0.0,0.0,0.0,55.0
2025-05-02,18.0,43.0,0.0,0.0,0.0,61.0
2025-05-03,10.0,76.0,0.0,0.0,-10.0,86.0
2025-05-04,26.0,85.0,0.0,0.0,0.0,111.0
2025-05-05,69.0,42.0,0.0,0.0,-10.0,111.0
2025-05-06,27.0,27.0,0.0,0.0,0.0,54.0
2025-05-07,13.0,58.0,0.0,0.0,0.0,71.0
2025-05-08,37.0,66.0,0.0,0.0,0.0,103.0
2025-05-09,15.0,81.0,0.0,0.0,0.0,96.0
2025-05-10,41.0,132.0,0.0,0.0,0.0,173.0
2025-05-11,66.0,118.0,0.0,0.0,0.0,184.0
2025-05-12,40.0,83.0,0.0,0.0,-10.0,123.0
2025-05-13,22.0,20.4,0.0,0.0,-5.0,42.4
2025-05-14,2.2,64.4,0.0,0.0,0.0,66.6
2025-05-15,4.4,66.2,0.0,0.0,-10.0,70.6
2025-05-16,27.6,71.8,0.0,0.0,0.0,99.4
2025-05-17,13.8,55.8,0.0,0.0,-10.0,69.6
2025-05-18,29.2,77.8,0.0,0.0,0.0,107.0
2025-05-19,25.2,35.4,0.0,0.0,-10.0,60.6
2025-05-20,41.8,33.2,0.0,0.0,0.0,75.0
2025-05-21,13.8,14.2,0.0,0.0,0.0,28.0
2025-05-22,-10.0,31.0,0.0,0.0,-10.0,21.0
2025-05-23,14.4,78.4,0.0,0.0,0.0,92.8
2025-05-24,44.6,40.2,0.0,0.0,0.0,84.8
2025-05-25,31.4,166.8,0.0,0.0,0.0,198.2
2025-05-26,-19.0,68.8,0.0,0.0,-20.0,49.8
2025-05-27,35.8,21.0,0.0,0.0,0.0,56.8
2025-05-28,20.8,116.0,0.0,0.0,0.0,136.8
2025-05-29,8.2,43.0,0.0,0.0,-10.0,51.2
2025-05-30,41.8,50.8,0.0,0.0,0.0,92.6
2025-05-31,26.6,29.2,0.0,0.0,-10.0,55.8
2025-06-01,20.4,89.8,0.0,0.0,0.0,110.2
2025-06-02,23.8,51.8,0.0,0.0,0.0,75.6
2025-06-03,78.6,24.8,0.0,0.0,0.0,103.4
2025-06-04,31.2,0.0,0.0,0.0,0.0,31.2
2025-06-05,-20.0,63.2,0.0,0.0,-20.0,43.2
2025-06-06,57.0,69.6,0.0,0.0,0.0,126.6
2025-06-07,2.6,72.0,0.0,0.0,-11.0,74.6
2025-06-08,30.4,98.2,0.0,0.0,0.0,128.6
2025-06-09,16.0,127.4,0.0,0.0,-10.0,143.4
2025-06-10,51.0,51.6,0.0,0.0,-2.0,102.6
2025-06-11,35.6,60.6,0.0,0.0,0.0,96.2
2025-06-12,12.6,30.4,0.0,0.0,-10.0,43.0
2025-06-13,35.2,43.6,0.0,0.0,0.0,78.8
2025-06-14,18.2,116.8,0.0,0.0,-10.0,135.0
2025-06-15,38.0,144.4,0.0,0.0,0.0,182.4
2025-06-16,38.4,60.0,0.0,0.0,-10.0,98.4
2025-06-17,24.8,91.4,0.0,0.0,0.0,116.2
2025-06-18,94.2,9.4,0.0,0.0,0.0,103.6
2025-06-19,19.6,46.0,0.0,0.0,-10.0,65.6
2025-06-20,61.6,57.4,0.0,0.0,0.0,119.0
2025-06-21,2.2,49.6,0.0,0.0,-10.0,51.8
2025-06-22,43.2,57.8,0.0,0.0,0.0,101.0
2025-06-23,8.8,41.4,0.0,0.0,-10.0,50.2
2025-06-24,38.6,55.8,0.0,0.0,0.0,94.4
2025-06-25,33.0,66.6,0.0,0.0,0.0,99.6
2025-06-26,29.2,43.0,0.0,0.0,-10.0,72.2
2025-06-27,27.6,102.2,0.0,0.0,0.0,129.8
2025-06-28,54.8,42.6,0.0,0.0,-10.0,97.4
2025-06-29,25.2,32.8,0.0,0.0,0.0,58.0
2025-06-30,20.4,96.8,0.0,0.0,-10.0,117.2
2025-07-01,6.6,120.8,0.0,0.0,0.0,127.4
